Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount,Product_Name,Category,Sub_Category,List_Price,Unit_Cost,Sales,Profit,Profit_Margin,Segment,City,State
O50068,2025-06-21,C1044,P2034,4.0,0.1,Stationery Product 35,Office Supplies,Stationery,6797.66,4643.32,24471.58,5898.3,0.241,Consumer,Kochi,Kerala
O50069,2025-06-22,C1334,P2054,5.0,0.0,Chairs Product 55,Furniture,Chairs,56519.23,39410.95,282596.15,85541.4,0.3027,Consumer,Chennai,Telangana
O50070,2025-12-28,C1019,P2013,3.0,0.05,Phones Product 14,Technology,Phones,26276.26,19570.22,74887.34,16176.68,0.216,Consumer,Chennai,Maharashtra
O50071,2025-02-16,C1447,P2048,1.0,0.2,Storage Product 49,Furniture,Storage,47196.49,35282.94,37757.19,2474.25,0.0655,Corporate,Chennai,Delhi
O50072,2025-05-21,C1220,P2006,1.0,0.2,Laptops Product 7,Technology,Laptops,57279.45,42140.92,45823.56,3682.64,0.0804,Corporate,Mumbai,Telangana
O50073,2025-04-28,C1122,P2029,5.0,0.05,Phones Product 30,Technology,Phones,35257.0,27824.57,167470.75,28347.9,0.1693,Consumer,Bengaluru,Karnataka
O50074,2025-10-04,C1233,P2048,1.0,0.1,Storage Product 49,Furniture,Storage,47196.49,35282.94,42476.84,7193.9,0.1694,Consumer,Salem,Kerala
O50075,2025-08-02,C1220,P2015,4.0,0.1,Tables Product 16,Furniture,Tables,38551.13,28836.5,138784.07,23438.07,0.1689,Corporate,Mumbai,Telangana
O50076,2025-08-08,C1322,P2050,3.0,0.2,Phones Product 51,Technology,Phones,26671.88,18619.55,64012.51,8153.86,0.1274,Corporate,Pune,Tamil Nadu
O50077,2025-01-26,C1338,P2071,1.0,0.2,Paper Product 72,Office Supplies,Paper,79468.95,63440.16,63575.16,135.0,0.0021,Consumer,Salem,Maharashtra
O50078,2025-01-09,C1002,P2079,1.0,0.1,Tables Product 80,Furniture,Tables,60819.74,43495.05,54737.77,11242.72,0.2054,Corporate,Mumbai,Telangana
O50079,2025-09-28,C1181,P2041,2.0,0.15,Laptops Product 42,Technology,Laptops,17089.78,12912.68,29052.63,3227.27,0.1111,Consumer,Salem,Tamil Nadu
O50080,2025-01-10,C1205,P2016,2.0,0.2,Laptops Product 17,Technology,Laptops,60637.62,52413.59,97020.19,-7806.99,-0.0805,Consumer,Coimbatore,Maharashtra
O50081,2025-05-01,C1319,P2062,2.0,0.0,Storage Product 63,Furniture,Storage,2688.9,1752.13,5377.8,1873.54,0.3484,Consumer,Coimbatore,Karnataka
O50082,2025-05-05,C1039,P2044,3.0,0.1,Stationery Product 45,Office Supplies,Stationery,33218.58,19028.06,89690.17,32605.99,0.3635,Consumer,Kochi,Delhi
O50083,2025-06-19,C1058,P2076,4.0,0.25,Phones Product 77,Technology,Phones,31874.96,24846.67,95624.88,-3761.8,-0.0393,Consumer,Pune,Tamil Nadu
O50084,2025-03-13,C1438,P2006,4.0,0.15,Laptops Product 7,Technology,Laptops,57279.45,42140.92,194750.13,26186.45,0.1345,Corporate,Pune,Delhi
O50085,2025-06-01,C1061,P2026,4.0,0.15,Binders Product 27,Office Supplies,Binders,50136.78,40537.07,170465.05,8316.77,0.0488,Consumer,Madurai,Karnataka
O50086,2025-07-27,C1131,P2009,3.0,0.1,Storage Product 10,Furniture,Storage,50209.76,29789.99,135566.35,46196.38,0.3408,Consumer,Delhi,Delhi
O50087,2025-02-18,C1059,P2033,3.0,0.1,Accessories Product 34,Technology,Accessories,18507.84,16264.51,49971.17,1177.64,0.0236,Consumer,Coimbatore,Delhi
O50088,2025-06-03,C1371,P2035,2.0,0.1,Phones Product 36,Technology,Phones,2743.0,1741.9,4937.4,1453.6,0.2944,Consumer,Salem,Maharashtra
O50089,2025-12-13,C1330,P2024,1.0,0.15,Storage Product 25,Furniture,Storage,71728.84,53529.53,60969.51,7439.98,0.122,Consumer,Bengaluru,Maharashtra
O50090,2025-10-20,C1121,P2005,5.0,0.1,Tables Product 6,Furniture,Tables,18627.38,11555.02,83823.21,26048.11,0.3108,Home Office,Mumbai,Telangana
O50091,2025-03-09,C1478,P2023,5.0,0.15,Binders Product 24,Office Supplies,Binders,13648.36,7977.57,58005.53,18117.68,0.3123,Home Office,Madurai,Maharashtra
O50092,2025-02-19,C1106,P2017,1.0,0.2,Stationery Product 18,Office Supplies,Stationery,38596.4,22564.5,30877.12,8312.62,0.2692,Consumer,Kochi,Tamil Nadu
O50093,2025-06-01,C1095,P2005,2.0,0.05,Tables Product 6,Furniture,Tables,18627.38,11555.02,35392.02,12281.98,0.347,Consumer,Bengaluru,Telangana
O50094,2025-01-19,C1346,P2028,1.0,0.1,Tables Product 29,Furniture,Tables,62771.45,44486.02,56494.3,12008.28,0.2126,Corporate,Coimbatore,Telangana
O50095,2025-04-10,C1413,P2024,1.0,0.1,Storage Product 25,Furniture,Storage,71728.84,53529.53,64555.96,11026.43,0.1708,Consumer,Mumbai,Karnataka
O50096,2025-03-01,C1234,P2054,5.0,0.15,Chairs Product 55,Furniture,Chairs,56519.23,39410.95,240206.73,43151.98,0.1796,Consumer,Chennai,Tamil Nadu
O50097,2025-06-16,C1385,P2045,2.0,0.05,Tables Product 46,Furniture,Tables,69698.77,48576.61,132427.66,35274.44,0.2664,Corporate,Kochi,Kerala
O50098,2025-07-21,C1061,P2023,3.0,0.15,Binders Product 24,Office Supplies,Binders,13648.36,7977.57,34803.32,10870.61,0.3123,Consumer,Madurai,Karnataka
O50099,2025-12-11,C1255,P2074,5.0,0.2,Paper Product 75,Office Supplies,Paper,63885.75,44320.26,255543.0,33941.7,0.1328,Consumer,Salem,Telangana
O50100,2025-05-26,C1048,P2025,3.0,0.1,Storage Product 26,Furniture,Storage,43441.32,34057.56,117291.56,15118.88,0.1289,Consumer,Delhi,Delhi
O50101,2025-06-13,C1392,P2027,2.0,0.25,Storage Product 28,Furniture,Storage,6685.15,5650.89,10027.72,-1274.06,-0.1271,Consumer,Bengaluru,Maharashtra
O50102,2025-08-30,C1347,P2002,1.0,0.3,Accessories Product 3,Technology,Accessories,76083.83,45638.81,53258.68,7619.87,0.1431,Consumer,Delhi,Telangana
O50103,2025-03-10,C1158,P2074,4.0,0.05,Paper Product 75,Office Supplies,Paper,63885.75,44320.26,242765.85,65484.81,0.2697,Consumer,Delhi,Tamil Nadu
O50104,2025-06-24,C1123,P2037,4.0,0.05,Paper Product 38,Office Supplies,Paper,27871.02,18741.67,105909.88,30943.2,0.2922,Consumer,Bengaluru,Maharashtra
O50105,2025-02-18,C1481,P2060,2.0,0.25,Laptops Product 61,Technology,Laptops,51237.86,42856.01,76856.79,-8855.23,-0.1152,Corporate,Delhi,Telangana
O50106,2025-04-18,C1316,P2077,4.0,0.25,Laptops Product 78,Technology,Laptops,47839.89,34926.79,143519.67,3812.51,0.0266,Consumer,Chennai,Telangana
O50107,2025-08-14,C1206,P2050,3.0,0.0,Phones Product 51,Technology,Phones,26671.88,18619.55,80015.64,24156.99,0.3019,Consumer,Pune,Delhi
O50108,2025-06-10,C1047,P2047,4.0,0.0,Chairs Product 48,Furniture,Chairs,77562.16,49266.25,310248.64,113183.64,0.3648,Consumer,Delhi,Karnataka
O50109,2025-04-29,C1408,P2020,2.0,0.05,Phones Product 21,Technology,Phones,42879.1,36071.45,81470.29,9327.39,0.1145,Home Office,Bengaluru,Maharashtra
O50110,2025-05-29,C1419,P2053,2.0,0.3,Accessories Product 54,Technology,Accessories,58991.24,45367.54,82587.74,-8147.34,-0.0987,Corporate,Mumbai,Telangana
O50111,2025-05-30,C1135,P2055,3.0,0.05,Binders Product 56,Office Supplies,Binders,16705.54,9805.04,47610.79,18195.67,0.3822,Consumer,Chennai,Maharashtra
O50112,2025-10-20,C1200,P2058,4.0,0.1,Paper Product 59,Office Supplies,Paper,8533.72,6340.06,30721.39,5361.15,0.1745,Corporate,Mumbai,Maharashtra
O50113,2025-05-23,C1249,P2071,4.0,0.2,Paper Product 72,Office Supplies,Paper,79468.95,63440.16,254300.64,540.0,0.0021,Home Office,Hyderabad,Karnataka
O50114,2025-06-09,C1313,P2050,1.0,0.0,Phones Product 51,Technology,Phones,26671.88,18619.55,26671.88,8052.33,0.3019,Home Office,Madurai,Maharashtra
O50115,2025-01-11,C1356,P2019,5.0,0.15,Chairs Product 20,Furniture,Chairs,44904.0,24841.99,190842.0,66632.05,0.3491,Consumer,Pune,Karnataka
O50116,2025-05-18,C1367,P2058,2.0,0.05,Paper Product 59,Office Supplies,Paper,8533.72,6340.06,16214.07,3533.95,0.218,Home Office,Hyderabad,Kerala
O50117,2025-03-19,C1428,P2070,1.0,0.2,Phones Product 71,Technology,Phones,79953.27,45246.36,63962.62,18716.26,0.2926,Consumer,Coimbatore,Delhi
O50118,2025-03-18,C1317,P2008,2.0,0.1,Paper Product 9,Office Supplies,Paper,12546.55,8779.06,22583.79,5025.67,0.2225,Consumer,Chennai,Maharashtra
O50119,2025-09-11,C1294,P2000,1.0,0.15,Laptops Product 1,Technology,Laptops,13340.82,10836.58,11339.7,503.12,0.0444,Consumer,Kochi,Kerala
O50120,2025-09-15,C1479,P2028,5.0,0.15,Tables Product 29,Furniture,Tables,62771.45,44486.02,266778.66,44348.56,0.1662,Consumer,Madurai,Kerala
O50121,2025-11-16,C1313,P2062,1.0,0.05,Storage Product 63,Furniture,Storage,2688.9,1752.13,2554.46,802.33,0.3141,Home Office,Madurai,Maharashtra
O50122,2025-10-18,C1499,P2071,2.0,0.0,Paper Product 72,Office Supplies,Paper,79468.95,63440.16,158937.9,32057.58,0.2017,Home Office,Mumbai,Tamil Nadu
O50123,2025-09-20,C1208,P2055,4.0,0.1,Binders Product 56,Office Supplies,Binders,16705.54,9805.04,60139.94,20919.78,0.3479,Consumer,Kochi,Delhi
O50124,2025-03-26,C1354,P2067,2.0,0.1,Storage Product 68,Furniture,Storage,45777.6,25636.72,82399.68,31126.24,0.3777,Consumer,Pune,Delhi
O50125,2025-05-26,C1484,P2034,3.0,0.2,Stationery Product 35,Office Supplies,Stationery,6797.66,4643.32,16314.38,2384.42,0.1462,Corporate,Coimbatore,Maharashtra
O50126,2025-11-19,C1210,P2002,3.0,0.2,Accessories Product 3,Technology,Accessories,76083.83,45638.81,182601.19,45684.76,0.2502,Consumer,Chennai,Tamil Nadu
O50127,2025-02-11,C1191,P2006,3.0,0.1,Laptops Product 7,Technology,Laptops,57279.45,42140.92,154654.51,28231.75,0.1825,Home Office,Coimbatore,Delhi
O50128,2025-05-05,C1043,P2026,3.0,0.15,Binders Product 27,Office Supplies,Binders,50136.78,40537.07,127848.79,6237.58,0.0488,Home Office,Madurai,Maharashtra
O50129,2025-06-16,C1028,P2000,5.0,0.15,Laptops Product 1,Technology,Laptops,13340.82,10836.58,56698.48,2515.58,0.0444,Corporate,Chennai,Tamil Nadu
O50130,2025-08-29,C1058,P2079,4.0,0.2,Tables Product 80,Furniture,Tables,60819.74,43495.05,194623.17,20642.97,0.1061,Consumer,Pune,Tamil Nadu
O50131,2025-10-07,C1070,P2070,4.0,0.1,Phones Product 71,Technology,Phones,79953.27,45246.36,287831.77,106846.33,0.3712,Corporate,Salem,Karnataka
O50132,2025-07-07,C1091,P2043,2.0,0.05,Tables Product 44,Furniture,Tables,14620.74,9187.52,27779.41,9404.37,0.3385,Corporate,Chennai,Maharashtra
O50133,2025-10-29,C1264,P2040,1.0,0.05,Tables Product 41,Furniture,Tables,52504.24,46067.43,49879.03,3811.6,0.0764,Home Office,Kochi,Maharashtra
O50134,2025-01-19,C1382,P2074,2.0,0.15,Paper Product 75,Office Supplies,Paper,63885.75,44320.26,108605.78,19965.26,0.1838,Corporate,Hyderabad,Maharashtra
O50135,2025-03-09,C1219,P2041,2.0,0.1,Laptops Product 42,Technology,Laptops,17089.78,12912.68,30761.6,4936.24,0.1605,Corporate,Madurai,Karnataka
O50136,2025-08-06,C1389,P2032,2.0,0.1,Stationery Product 33,Office Supplies,Stationery,3779.83,2280.57,6803.69,2242.55,0.3296,Corporate,Delhi,Karnataka
O50137,2025-04-12,C1412,P2049,2.0,0.0,Accessories Product 50,Technology,Accessories,36467.03,22897.52,72934.06,27139.02,0.3721,Home Office,Kochi,Maharashtra
O50138,2025-02-11,C1441,P2062,4.0,0.15,Storage Product 63,Furniture,Storage,2688.9,1752.13,9142.26,2133.74,0.2334,Home Office,Salem,Tamil Nadu
O50139,2025-10-15,C1400,P2036,1.0,0.05,Tables Product 37,Furniture,Tables,76874.21,52831.76,73030.5,20198.74,0.2766,Consumer,Delhi,Tamil Nadu
O50140,2025-06-16,C1399,P2058,2.0,0.05,Paper Product 59,Office Supplies,Paper,8533.72,6340.06,16214.07,3533.95,0.218,Corporate,Kochi,Maharashtra
O50141,2025-04-19,C1214,P2047,4.0,0.1,Chairs Product 48,Furniture,Chairs,77562.16,49266.25,279223.78,82158.78,0.2942,Corporate,Salem,Maharashtra
O50142,2025-02-05,C1478,P2004,2.0,0.05,Stationery Product 5,Office Supplies,Stationery,22154.95,19379.22,42094.4,3335.96,0.0792,Home Office,Madurai,Maharashtra
O50143,2025-08-20,C1386,P2047,3.0,0.15,Chairs Product 48,Furniture,Chairs,77562.16,49266.25,197783.51,49984.76,0.2527,Consumer,Pune,Maharashtra
O50144,2025-08-17,C1276,P2002,2.0,0.1,Accessories Product 3,Technology,Accessories,76083.83,45638.81,136950.89,45673.27,0.3335,Corporate,Pune,Tamil Nadu
O50145,2025-12-19,C1063,P2046,2.0,0.1,Chairs Product 47,Furniture,Chairs,53110.92,30880.61,95599.66,33838.44,0.354,Consumer,Delhi,Tamil Nadu
O50146,2025-06-13,C1345,P2061,5.0,0.15,Storage Product 62,Furniture,Storage,41881.88,27770.86,177997.99,39143.69,0.2199,Corporate,Salem,Tamil Nadu
O50147,2025-03-14,C1291,P2013,3.0,0.05,Phones Product 14,Technology,Phones,26276.26,19570.22,74887.34,16176.68,0.216,Consumer,Salem,Tamil Nadu
O50148,2025-05-16,C1489,P2062,1.0,0.05,Storage Product 63,Furniture,Storage,2688.9,1752.13,2554.46,802.33,0.3141,Home Office,Madurai,Delhi
O50149,2025-12-19,C1484,P2060,2.0,0.2,Laptops Product 61,Technology,Laptops,51237.86,42856.01,81980.58,-3731.44,-0.0455,Corporate,Coimbatore,Maharashtra
O50150,2025-03-11,C1244,P2030,1.0,0.1,Chairs Product 31,Furniture,Chairs,38498.53,28996.9,34648.68,5651.78,0.1631,Consumer,Salem,Kerala
O50151,2025-07-15,C1469,P2016,3.0,0.1,Laptops Product 17,Technology,Laptops,60637.62,52413.59,163721.57,6480.8,0.0396,Home Office,Coimbatore,Karnataka
O50152,2025-09-26,C1061,P2023,2.0,0.0,Binders Product 24,Office Supplies,Binders,13648.36,7977.57,27296.72,11341.58,0.4155,Consumer,Madurai,Karnataka
O50153,2025-02-18,C1425,P2022,5.0,0.1,Accessories Product 23,Technology,Accessories,16308.47,12700.29,73388.11,9886.66,0.1347,Consumer,Coimbatore,Karnataka
O50154,2025-11-12,C1331,P2049,4.0,0.15,Accessories Product 50,Technology,Accessories,36467.03,22897.52,123987.9,32397.82,0.2613,Corporate,Pune,Delhi
O50155,2025-05-10,C1169,P2077,5.0,0.15,Laptops Product 78,Technology,Laptops,47839.89,34926.79,203319.53,28685.58,0.1411,Corporate,Delhi,Telangana
O50156,2025-01-05,C1444,P2078,5.0,0.15,Tables Product 79,Furniture,Tables,6133.72,4595.0,26068.31,3093.31,0.1187,Corporate,Kochi,Kerala
O50157,2025-01-27,C1268,P2078,4.0,0.05,Tables Product 79,Furniture,Tables,6133.72,4595.0,23308.14,4928.14,0.2114,Consumer,Pune,Tamil Nadu
O50158,2025-06-09,C1266,P2069,4.0,0.05,Binders Product 70,Office Supplies,Binders,31690.99,24240.66,120425.76,23463.12,0.1948,Corporate,Delhi,Tamil Nadu
